vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|联德股份|605060|机械设备|一级行业|申万行业分类|
|华丰股份|605100|机械设备|一级行业|申万行业分类|
|健麾信息|605186|机械设备|一级行业|申万行业分类|
|绿田机械|605259|机械设备|一级行业|申万行业分类|
|同力天启|605286|机械设备|一级行业|申万行业分类|
|凯迪股份|605288|机械设备|一级行业|申万行业分类|
|必得科技|605298|机械设备|一级行业|申万行业分类|
|中际联合|605305|机械设备|一级行业|申万行业分类|
|长龄液压|605389|机械设备|一级行业|申万行业分类|
|华兴源创|688001|机械设备|一级行业|申万行业分类|
|天准科技|688003|机械设备|一级行业|申万行业分类|
|中国通号|688009|机械设备|一级行业|申万行业分类|
|交控科技|688015|机械设备|一级行业|申万行业分类|
|绿的谐波|688017|机械设备|一级行业|申万行业分类|
|ST瀚川|688022|机械设备|一级行业|申万行业分类|
|杰普特|688025|机械设备|一级行业|申万行业分类|
|沃尔德|688028|机械设备|一级行业|申万行业分类|
|*ST天宜|688033|机械设备|一级行业|申万行业分类|
|莱伯泰科|688056|机械设备|一级行业|申万行业分类|
|华锐精密|688059|机械设备|一级行业|申万行业分类|
|华依科技|688071|机械设备|一级行业|申万行业分类|
|瑞松科技|688090|机械设备|一级行业|申万行业分类|
|爱科科技|688092|机械设备|一级行业|申万行业分类|
|博众精工|688097|机械设备|一级行业|申万行业分类|
|鼎阳科技|688112|机械设备|一级行业|申万行业分类|
|联测科技|688113|机械设备|一级行业|申万行业分类|
|思林杰|688115|机械设备|一级行业|申万行业分类|
|*ST卓然|688121|机械设备|一级行业|申万行业分类|
|安达智能|688125|机械设备|一级行业|申万行业分类|
|中国电研|688128|机械设备|一级行业|申万行业分类|
|步科股份|688160|机械设备|一级行业|申万行业分类|
|巨一科技|688162|机械设备|一级行业|申万行业分类|
|埃夫特|688165|机械设备|一级行业|申万行业分类|
|德龙激光|688170|机械设备|一级行业|申万行业分类|
|时代电气|688187|机械设备|一级行业|申万行业分类|
|中科微至|688211|机械设备|一级行业|申万行业分类|
|瑞晟智能|688215|机械设备|一级行业|申万行业分类|
|江苏北人|688218|机械设备|一级行业|申万行业分类|
|凯尔达|688255|机械设备|一级行业|申万行业分类|
|新锐股份|688257|机械设备|一级行业|申万行业分类|
